Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2015/16,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Full-time,212
2015/16,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Part-time,5
2015/16,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Short-term,8
2015/16,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Full-time,278
2015/16,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Part-time,2
2015/16,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Short-term,3
2015/16,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Full-time,255
2015/16,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Part-time,9
2015/16,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Short-term,31
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Full-time,16
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Part-time,3
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Short-term,10
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,193
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,6
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,11
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Full-time,5
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Short-term,3
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,Senior Academic Staff,Short-term,4
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Full-time,182
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Part-time,27
2015/16,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Short-term,73
2015/16,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,16
2015/16,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,2
2015/16,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,16
2015/16,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,80
2015/16,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,7
2015/16,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,45
2015/16,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,46
2015/16,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Part-time,1
2015/16,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Short-term,2
2015/16,The University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,5
2015/16,The University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Part-time,1
2015/16,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,374
2015/16,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,8
2015/16,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,240
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,370
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,8
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,73
2015/16,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1256
2015/16,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,7
2015/16,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,18
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,721
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,1
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,4
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,311
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,111
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,9
2015/16,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,102
2015/16,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,108
2015/16,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,26
2015/16,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,38
2015/16,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,520
2015/16,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,20
2015/16,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,63
2015/16,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,107
2015/16,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,6
2015/16,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,4
2015/16,The University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,8
2015/16,The University of Hong Kong,Wholly self-financed,Senior Academic Staff,Part-time,2
2015/16,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,522
2015/16,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,35
2015/16,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,278
2016/17,City University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,4
2016/17,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,9
2016/17,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,6
2016/17,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,160
2016/17,City University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Short-term,1
2016/17,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,136
2016/17,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,11
2016/17,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,212
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,162
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,221
2016/17,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,456
2016/17,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,16
2016/17,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,406
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,391
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,10
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,350
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,4
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,81
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,5
2016/17,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,108
2016/17,City University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,4
2016/17,City University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,5
2016/17,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,32
2016/17,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,5
2016/17,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,22
2016/17,City University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,1
2016/17,City University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,1
2016/17,City University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,2
2016/17,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,153
2016/17,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,5
2016/17,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,140
2016/17,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,1
2016/17,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2016/17,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,2
2016/17,Hong Kong Baptist University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,8
2016/17,Hong Kong Baptist University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2016/17,Hong Kong Baptist University,Partially Funded by General Funds,Junior Academic Staff,Full-time,27
2016/17,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Full-time,16
2016/17,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Part-time,1
2016/17,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Short-term,2
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,119
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,122
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,7
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,181
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,9
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,2
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,257
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,102
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Full-time,73
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Part-time,37
2016/17,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Short-term,93
2016/17,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Full-time,161
2016/17,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Part-time,168
2016/17,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Short-term,6
2016/17,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,215
2016/17,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,27
2016/17,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,10
2016/17,Hong Kong Baptist University,Wholly self-financed,Junior Academic Staff,Full-time,19
2016/17,Hong Kong Baptist University,Wholly self-financed,Senior Academic Staff,Full-time,1
2016/17,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Full-time,126
2016/17,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Part-time,29
2016/17,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Short-term,73
2016/17,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,3
2016/17,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,5
2016/17,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Short-term,7
2016/17,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Short-term,41
2016/17,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,44
2016/17,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,21
2016/17,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,46
2016/17,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2016/17,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,3
2016/17,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,92
2016/17,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,1
2016/17,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,15
2016/17,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,38
2016/17,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,2
2016/17,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2016/17,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Full-time,6
2016/17,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Short-term,3
2016/17,Lingnan University,Wholly self-financed,Academic Supporting Staff,Short-term,1
2016/17,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,24
2016/17,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,12
2016/17,Lingnan University,Wholly self-financed,Junior Academic Staff,Full-time,2
2016/17,Lingnan University,Wholly self-financed,Junior Academic Staff,Part-time,3
2016/17,Lingnan University,Wholly self-financed,Junior Academic Staff,Short-term,75
2016/17,Lingnan University,Wholly self-financed,Senior Academic Staff,Part-time,2
2016/17,Lingnan University,Wholly self-financed,Technical Research Staff,Full-time,16
2016/17,Lingnan University,Wholly self-financed,Technical Research Staff,Part-time,1
2016/17,Lingnan University,Wholly self-financed,Technical Research Staff,Short-term,17
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,57
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,3
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,122
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,3
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,1
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,88
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Short-term,16
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,17
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Part-time,1
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,450
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,7
2016/17,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,136
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,384
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,33
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,84
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1215
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,5
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,623
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,7
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,117
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,240
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,3
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,267
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,3
2016/17,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,77
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,123
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,13
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,78
2016/17,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,703
2016/17,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,8
2016/17,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,9
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,60
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,12
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,137
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,8
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,606
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,4
2016/17,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,88
2016/17,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,3
2016/17,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,6
2016/17,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,1
2016/17,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,53
2016/17,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,10
2016/17,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,37
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,103
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,99
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,47
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,134
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,22
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,230
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,1
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,104
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,4
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,54
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,24
2016/17,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,76
2016/17,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,12
2016/17,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,52
2016/17,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,33
2016/17,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,78
2016/17,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,2
2016/17,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,9
2016/17,The Education University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,1
2016/17,The Education University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,2
2016/17,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,55
2016/17,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,9
2016/17,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,19
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,11
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,28
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,3
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,5
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Full-time,24
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Short-term,1
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Full-time,9
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Short-term,3
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Full-time,118
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Part-time,18
2016/17,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Short-term,214
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,381
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,8
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,57
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,678
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,6
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,21
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,355
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,29
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,142
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,463
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,3
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,6
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Full-time,247
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Part-time,31
2016/17,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Short-term,373
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Full-time,44
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Part-time,5
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Short-term,36
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,213
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,66
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,34
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Full-time,31
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Part-time,14
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Short-term,109
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Full-time,20
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Part-time,6
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Short-term,5
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Full-time,250
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Part-time,46
2016/17,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Short-term,345
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Full-time,11
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Short-term,3
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,21
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,3
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,10
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Junior Academic Staff,Full-time,7
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Junior Academic Staff,Part-time,2
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Junior Academic Staff,Short-term,3
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Senior Academic Staff,Full-time,2
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Full-time,237
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Part-time,53
2016/17,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Short-term,102
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,288
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,14
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,31
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,435
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,13
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,93
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Full-time,228
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Part-time,4
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Short-term,9
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Full-time,274
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Part-time,2
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Short-term,7
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Full-time,255
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Part-time,16
