Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2009/10,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,16
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,119
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,16
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,2
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,108
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,2
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,178
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,91
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,54
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,10
2009/10,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,68
2009/10,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,19
2009/10,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,1
2009/10,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,20
2009/10,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,52
2009/10,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,1
2009/10,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,8
2009/10,The Education University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,1
2009/10,The Education University of Hong Kong,Wholly self-financed,Senior Academic Staff,Short-term,1
2009/10,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,44
2009/10,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,3
2009/10,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,32
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,5
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,28
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,10
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Full-time,10
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Part-time,2
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Short-term,13
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Full-time,18
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Short-term,1
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Full-time,144
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Part-time,14
2009/10,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Short-term,249
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,289
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,27
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,41
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,686
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,16
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,22
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,497
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,54
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,77
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,408
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,4
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,10
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Full-time,271
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Part-time,51
2009/10,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Short-term,277
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Full-time,38
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Part-time,3
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Short-term,9
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,162
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,136
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,113
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Full-time,45
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Part-time,1
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Short-term,92
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Full-time,11
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Part-time,3
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Short-term,3
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Full-time,211
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Part-time,26
2009/10,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Short-term,191
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Full-time,2
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,14
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,7
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Junior Academic Staff,Full-time,5
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Junior Academic Staff,Short-term,1
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Senior Academic Staff,Full-time,2
